<浙江越秀外国语学院,30>
<江西科技师范大学,51>
<贵州理工学院,17>
<牡丹江医学院,85>
<兰州大学,70>
<扬州大学,105>
<辽宁师范大学海华学院,45>
<长沙理工大学,175>
<三亚航空旅游职业学院,19>
<广州航海学院,9>
<河北经贸大学,30>
<天津中医药大学,43>
<广州华立科技职业学院,5>
<无锡南洋职业技术学院,10>
<西安理工大学,18>
<广东机电职业技术学院,31>
<重庆工商大学,113>
<怀化学院,83>
<枣庄学院,20>
<江西电力职业技术学院,5>
<浙江旅游职业学院,45>
<西安电力高等专科学校,4>
<河北科技师范学院,45>
<萍乡学院,20>
<长江大学,140>
<兰州交通大学,29>
<黑龙江工商学院,30>
<湖南文理学院,32>
<长沙南方职业学院,5>
<江西中医药大学,45>
<常州轻工职业技术学院,10>
<湘潭大学,165>
<四平职业大学,8>
<内蒙古商贸职业学院,38>
<西南大学（荣昌校区）,29>
<青岛远洋船员职业学院,15>
<齐齐哈尔大学,130>
<四川司法警官职业学院,5>
<广东第二师范学院,2>
<湖南网络工程职业学院,30>
<长江工程职业技术学院,8>
<广东警官学院,8>
<宁德职业技术学院,20>
<广州铁路职业技术学院,46>
<河北司法警官职业学院,10>
<盐城卫生职业技术学院,10>
<武汉工程职业技术学院,89>
<黑龙江八一农垦大学,70>
<湖南商学院,23>
<云南交通职业技术学院,6>
<广西大学,3163>
<广东外语外贸大学,34>
<华北电力大学（保定）,68>
<汕头大学,43>
<重庆医科大学,15>
<永州职业技术学院,90>
<辽宁对外经贸学院,105>
<江西司法警官职业学院,8>
<漳州城市职业学院,20>
<邢台医学高等专科学校,10>
<广东外语外贸大学南国商学院,12>
<蚌埠经济技术职业学院,5>
<河北工程大学,30>
<湄洲湾职业技术学院,20>
<山东大学,92>
<蚌埠医学院,5>
<丽水学院,66>
<泰山医学院,30>
<甘肃政法学院,132>
<黄冈职业技术学院,45>
<湖南铁道职业技术学院,40>
<商洛学院,15>
<南京邮电大学,174>
<天津城建大学,189>
<湖北汽车工业学院科技学院,40>
<广东技术师范学院,20>
<四川大学锦江学院,10>
<天津工程职业技术学院,6>
<宁波大学,54>
<商丘师范学院,21>
<浙江中医药大学,35>
<太原工业学院,20>
<海口经济学院,20>
<宜宾学院,20>
<厦门南洋职业学院,18>
<湖州师范学院求真学院,20>
<右江民族医学院,1248>
<牡丹江大学,40>
<南昌师范高等专科学校,10>
<漳州职业技术学院,24>
<天津农学院,121>
<广西大学行健文理学院,2363>
<潇湘职业学院,80>
<九江学院,85>
<中国传媒大学,29>
<龙岩学院,108>
<邯郸学院,6>
<上海交通大学医学院,8>
<新疆医科大学,15>
<北华航天工业学院,25>
<广东理工职业学院,6>
<广州中医药大学,20>
<莱芜职业技术学院,5>
<哈尔滨远东理工学院,20>
<安徽科技学院,15>
<齐鲁工业大学,70>
<浙江师范大学,35>
<中国地质大学（北京）,45>
<西南林业大学,71>
<东北电力大学,83>
<青岛农业大学,60>
<苏州大学文正学院,45>
<西安工业大学,40>
<闽北职业技术学院,7>
<广东职业技术学院,10>
<东莞理工学院,12>
<安顺职业技术学院,15>
<湖北第二师范学院,25>
<中国矿业大学银川学院,5>
<温州大学,30>
<北京邮电大学世纪学院,19>
<惠州学院,18>
<贵州师范学院,15>
<湖北民族学院,118>
<湖南理工学院,30>
<扬州工业职业技术学院,35>
<湖南城市学院,36>
<泉州师范学院,178>
<山东大学威海分校,67>
<桂林电子科技大学,4951>
<首都医科大学,16>
<宁波大学科学技术学院,20>
<辽宁石油化工大学,43>
<绥化学院,50>
<华南理工大学,202>
<浙江大学宁波理工学院,25>
<哈尔滨职业技术学院,30>
<包头轻工职业技术学院,41>
<湖南安全技术职业学院,10>
<中国传媒大学南广学院,14>
<广东工业大学,66>
<深圳职业技术学院,46>
<湖北职业技术学院,80>
<福州职业技术学院,16>
<西安汽车科技职业学院,1>
<西安文理学院,8>
<河北建筑工程学院,10>
<杭州科技职业技术学院,20>
<中北大学,60>
<福建师范大学,130>
<吕梁学院,10>
<厦门工学院,31>
<保险职业学院,30>
<广州城市职业学院,38>
<湖南化工职业技术学院,2>
<南京工程学院,20>
<广东培正学院,20>
<遵义医学院医学与科技学院,10>
<郑州航空工业管理学院,70>
<浙江工业大学,120>
<华东政法大学,113>
<北华大学,50>
<浙江外国语学院,40>
<云南农业大学,40>
<上海师范大学天华学院,88>
<长春中医药大学,29>
<徐州工程学院,98>
<兴安职业技术学院,5>
<安徽中医药大学,10>
<锦州医科大学,15>
<浙江机电职业技术学院,35>
<黄冈师范学院,26>
<广东工业大学华立学院,18>
<武汉铁路职业技术学院,79>
<北京印刷学院,26>
<西南财经大学天府学院,15>
<江苏海事职业技术学院,20>
<昆明理工大学,96>
<中国矿业大学（北京）,34>
<湖北理工学院,31>
<黄淮学院,30>
<广西财经学院,5816>
<哈尔滨剑桥学院,20>
<衢州职业技术学院,55>
<攀枝花学院,6>
<河南理工大学,60>
<成都中医药大学,16>
<中国政法大学,51>
<金山职业技术学院,10>
<湖北民族学院科技学院,10>
<安康学院,4>
<安徽师范大学,13>
<广东海洋大学,6>
<吉林大学珠海学院,57>
<贵州医科大学神奇民族医药学院,15>
<哈尔滨医科大学,94>
<青岛黄海学院,22>
<黑龙江工程学院,46>
<湖南商学院北津学院,13>
<广东财经大学,9>
<广西教育学院,910>
<杭州电子科技大学,80>
<四川警察学院,30>
<贵州师范大学,9>
<长春大学旅游学院,25>
<河北医科大学,20>
<广州华南商贸职业学院,10>
<曲靖师范学院,23>
<广东工程职业技术学院,23>
<南华大学船山学院,10>
<石家庄科技信息职业学院,15>
<内蒙古医科大学,10>
<天津交通职业学院,12>
<黄河水利职业技术学院,5>
<广东工贸职业技术学院,15>
<广西体育高等专科学校,398>
<同济大学浙江学院,40>
<江西师范大学,169>
<南华大学,160>
<福建农业职业技术学院,13>
<江西中医药高等专科学校,30>
<河北北方学院,10>
<西北民族大学,385>
<黑龙江生态工程职业学院,20>
<安徽医学高等专科学校,15>
<唐山师范学院,20>
<重庆房地产职业学院,10>
<韶关学院,20>
<烟台大学,106>
<武汉软件工程职业学院,39>
<江西机电职业技术学院,10>
<榆林学院,24>
<长江师范学院,15>
<西华师范大学,35>
<河北师范大学,20>
<沈阳医学院,28>
<北京第二外国语学院,38>
<青岛理工大学,138>
<云南艺术学院,3>
<西安外国语大学,14>
<哈尔滨广厦学院,20>
<黑龙江商业职业学院,15>
<河南大学,30>
<山东财经大学,120>
<辽东学院,60>
<梧州学院,2139>
<江西工业职业技术学院,20>
<岭南师范学院,10>
<营口职业技术学院,9>
<晋中学院,30>
<运城学院,30>
<长春医学高等专科学校,7>
<徐州医科大学,20>
<重庆电子工程职业学院,20>
<贵州大学科技学院,4>
<大兴安岭职业学院,20>
<东北大学,130>
<青岛滨海学院,20>
<江西工程职业学院,30>
<苏州农业职业技术学院,30>
<北京科技大学,50>
<江苏农林职业技术学院,10>
<沈阳工程学院,49>
<山东政法学院,18>
<百色学院,2230>
<绍兴职业技术学院,15>
<海南医学院,69>
<浙江师范大学行知学院,30>
<北京工业大学耿丹学院,30>
<广西机电职业技术学院,2443>
<哈尔滨体育学院,5>
<河南科技大学,60>
<北京汇佳职业学院,5>
<聊城大学,58>
<江苏理工学院,80>
<吉林农业大学,45>
<肇庆学院,5>
<中国计量大学,68>
<遵义医学院,80>
<湖北经济学院法商学院,47>
<黑龙江东方学院,80>
<西藏民族大学,25>
<沈阳农业大学,32>
<济宁学院,10>
<安徽审计职业学院,10>
<北京电影学院现代创意媒体学院,4>
<泰州学院,20>
<吉林工程技术师范学院,30>
<南昌理工学院,129>
<福建林业职业技术学院,16>
<陕西师范大学,66>
<徐州工业职业技术学院,10>
<南通职业大学,10>
<西安建筑科技大学,14>
<常州信息职业技术学院,15>
<吉林财经大学,60>
<江西科技学院,46>
<沙洲职业工学院,10>
<德州科技职业学院,2>
<湖南警察学院,33>
<黑龙江农业经济职业学院,30>
<华中师范大学,102>
<湖北工业大学工程技术学院,30>
<合肥工业大学,143>
<遵义职业技术学院,5>
<武汉工商学院,29>
<重庆文理学院,26>
<河南城建学院,50>
<廊坊职业技术学院,10>
<浙江财经大学东方学院,20>
<广东技术师范学院天河学院,9>
<大庆师范学院,60>
<齐鲁医药学院,20>
<南京医科大学,40>
<云南工商学院,20>
<云南师范大学商学院,50>
<浙江大学城市学院,55>
<华东交通大学,92>
<私立华联学院,15>
<南京机电职业技术学院,10>
<邢台职业技术学院,20>
<硅湖职业技术学院,10>
<安徽理工大学,16>
<南京信息工程大学滨江学院,85>
<东华大学,67>
<温州职业技术学院,30>
<吉林警察学院,29>
<西安欧亚学院,14>
<滨州学院,25>
<南京铁道职业技术学院,10>
<重庆大学城市科技学院,59>
<浙江工业大学之江学院,22>
